Source IP,Destination IP,Protocol,Packet Length,Status,Timestamp
10.0.2.15,75.75.77.143,TCP,117,Normal,2024-12-10 02:21:46
10.0.2.15,10.0.2.3,UDP,86,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
10.0.2.15,10.0.2.3,UDP,86,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,220,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,283,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,117,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,220,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,375,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,54,Normal,2024-12-10 02:21:46
10.0.2.3,10.0.2.15,UDP,139,Normal,2024-12-10 02:21:46
10.0.2.3,10.0.2.15,UDP,127,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,99,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,54,Normal,2024-12-10 02:21:46
75.75.77.143,10.0.2.15,TCP,172,Normal,2024-12-10 02:21:46
10.0.2.15,75.75.77.143,TCP,54,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,74,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,54,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,2441,Suspicious,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,152,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,1970,Suspicious,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,54,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,138,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,85,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,6360,Suspicious,2024-12-10 02:21:46
10.0.2.15,172.64.155.209,TCP,592,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,60,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,919,Normal,2024-12-10 02:21:46
172.64.155.209,10.0.2.15,TCP,1445,Normal,2024-12-10 02:21:46
